FILEID,STUSAB,CHARITER,CIFSN,LOGRECNO,PCT010001,PCT010002,PCT010003,PCT010004,PCT010005,PCT010006,PCT010007,PCT010008,PCT010009,PCT010010,PCT010011,PCT010012,PCT010013,PCT010014,PCT011001,PCT011002,PCT011003,PCT011004,PCT011005,PCT011006,PCT011007,PCT011008,PCT011009,PCT011010,PCT011011,PCT011012,PCT011013,PCT011014,PCT011015,PCT011016,PCT011017,PCT011018,PCT011019,PCT011020,PCT011021,PCT011022,PCT011023,PCT011024,PCT011025,PCT011026,PCT011027,PCT011028,PCT011029,PCT011030,PCT011031
uSF1,TX,000,36,727462,4,3,3,0,0,0,0,0,0,0,0,0,0,1,4077,3923,154,98,11,2,0,1,0,0,0,0,1,0,0,3,0,0,0,2,0,0,1,0,0,0,39,8,9,0,22
uSF1,TX,000,36,727463,15,0,0,0,0,0,3,3,0,0,0,0,0,12,4075,3682,393,245,32,3,2,10,1,3,3,0,0,3,0,8,1,0,0,2,1,0,2,0,2,0,93,4,6,2,81
uSF1,TX,000,36,727464,16,11,7,4,0,0,2,2,0,0,0,0,0,3,4808,4266,542,323,46,9,0,24,8,3,0,5,2,6,0,29,5,0,0,8,0,0,11,0,3,2,111,2,5,0,104
uSF1,TX,000,36,727465,18,6,5,1,0,0,1,1,0,0,0,0,1,10,5931,4832,1099,765,82,12,3,24,2,4,10,0,1,7,0,37,1,1,1,24,5,0,5,0,0,0,176,0,24,0,152
uSF1,TX,000,36,727466,1,1,0,1,0,0,0,0,0,0,0,0,0,0,3328,2329,999,744,30,3,11,36,2,5,6,1,1,20,1,23,0,1,1,4,1,0,11,2,3,0,152,0,22,0,130
uSF1,TX,000,36,727467,20,8,6,0,2,0,10,6,4,0,0,0,0,2,7471,6745,726,542,16,8,2,18,0,2,1,4,2,8,1,18,0,7,0,6,2,0,3,0,0,0,122,3,10,1,108
uSF1,TX,000,36,727468,10,3,1,2,0,0,2,2,0,0,0,0,1,4,6354,5046,1308,1100,21,9,1,11,1,0,0,0,1,9,0,12,1,1,0,9,0,0,0,0,1,0,154,0,15,4,135
uSF1,TX,000,36,727469,4,4,3,0,1,0,0,0,0,0,0,0,0,0,2961,2669,292,240,12,7,0,4,0,1,0,0,0,1,2,1,0,0,0,0,0,0,1,0,0,0,28,1,3,0,24
uSF1,TX,000,36,727470,5,5,3,0,0,2,0,0,0,0,0,0,0,0,2876,2760,116,57,10,5,0,5,0,1,3,1,0,0,0,5,1,1,0,1,2,0,0,0,0,0,34,6,10,0,18
uSF1,TX,000,36,727471,14,8,2,6,0,0,6,6,0,0,0,0,0,0,5318,4994,324,215,8,3,0,8,2,1,0,0,4,1,0,8,0,1,4,2,1,0,0,0,0,0,82,2,9,0,71
